##FastQC	0.12.1
>>Basic Statistics	pass
#Measure	Value
Filename	SRX5112343_SRR8297841.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	21589661
Total Bases	1 Gbp
Sequences flagged as poor quality	0
Sequence length	50
%GC	50
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1104	43	-0.2823667318183709
1104	44	-0.3657935344698515
1104	45	-0.3759550647728602
1104	46	-0.32624554989245524
1104	47	-0.346315801164053
1104	48	-0.34081644309516435
1104	49	-0.35146838821623305
1104	50	-0.5907512453095194
1105	1	-0.007425158977810042
1105	2	-0.0838166867163892
1105	3	-0.021208314576789178
1105	4	-0.0159553272414783
1105	5	-0.013980591688380173
1105	6	0.06369981162880123
1105	7	0.0017243639193509352
1105	8	-0.047332780112746775
1105	9	-0.3135321580544641
1105	10	-0.2927595571521806
1105	11	-0.5607551143587557
1105	12	-0.9171905330812962
1105	13	-1.1827515287708863
1105	14	-1.31836972255185
1105	15	-1.642341844713215
1105	16	-1.6043919787308418
1105	17	-1.0702882932936646
1105	18	-1.0294712318357142
1105	19	-0.4226734275084141
1105	20	-0.2964395767125936
1105	21	-0.12245596574233275
1105	22	-0.05966069301837962
1105	23	-0.1015004016463692
1105	24	-0.09821015776457642
1105	25	-0.023156897938967802
1105	26	-0.014486833417997502
1105	27	-0.00839806144146138
1105	28	-0.04222309920308476
1105	29	-0.06791567517038999
1105	30	-0.09884218569604286
1105	31	-0.1380942735524826
1105	32	-0.12363801584958622
